film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Mirzapur: The Movie,Jitendra Kumar,cast,3,2026-09-01T09:03:23.614689+00:00,,,attached
Onwards and Sideways,Rory Kinnear,cast,2,2026-09-01T09:03:43.613448+00:00,,,attached
Onwards and Sideways,Monica Dolan,cast,3,2026-09-01T09:03:43.613448+00:00,,,attached
Onwards and Sideways,Isabella Nefar,cast,4,2026-09-01T09:03:43.613448+00:00,,,attached
You're Ghosted,Elle Cole,cast,0,2026-09-01T09:03:51.752885+00:00,,,attached
Sugar,Rosario Mussendijk,cast,4,2026-09-01T09:03:56.309944+00:00,,,attached
Sugar,Latifah Chafery van Callas,cast,2,2026-09-01T09:03:56.309944+00:00,,,attached
Sugar,Noëlle Ferandes Mendes,cast,3,2026-09-01T09:03:56.309944+00:00,,,attached
City Of Gold,Jaffer Idukki,cast,3,2026-09-01T09:12:51.103725+00:00,,,attached
City Of Gold,Alencier Ley Lopez,cast,4,2026-09-01T09:12:51.103725+00:00,,,attached
City Of Gold,Shivathmika,cast,1,2026-09-01T09:12:51.103725+00:00,,,attached
City Of Gold,Amala Shaji,cast,2,2026-09-01T09:12:51.103725+00:00,,,attached
RYUJI ⻯⼆,Ken Miyake,cast,3,2026-09-01T09:12:56.278941+00:00,,,attached
RYUJI ⻯⼆,JUNON,cast,4,2026-09-01T09:12:56.278941+00:00,,,attached
DeSu7,Rohit Soumya,writer,,2026-09-01T09:13:01.684646+00:00,,,attached
DeSu7,Samrat Sharma,writer,,2026-09-01T09:13:01.684646+00:00,,,attached
Veeradhi Veerulanta,Aishwarya Rajesh,cast,3,2026-09-01T09:13:03.092594+00:00,,,attached
Veeradhi Veerulanta,Malavika Mohanan,cast,2,2026-09-01T09:13:03.092594+00:00,,,attached
OKTAGON 93: Roušal vs. Mågård,Ondřej Novotný,cast,4,2026-09-01T09:14:25.798188+00:00,,,attached
Romeo Pictures 11,Shivathmika,cast,2,2026-09-01T09:14:50.916655+00:00,,,attached
Romeo Pictures 11,Vijay Varma,cast,1,2026-09-01T09:14:50.916655+00:00,,,attached
Himel Ashraf's Next,Monwar Hossain Dipjol,cast,1,2026-09-01T09:17:47.085781+00:00,,,attached
Chị Chị Em Em 3,Quốc Anh,cast,2,2026-09-01T09:19:02.510589+00:00,,,attached
Oddly Flowers,Melanie Nicholls-King,cast,4,2026-09-01T09:20:14.158392+00:00,,,attached
Felix,Josh Duhamel,cast,0,2026-09-01T09:24:12.265145+00:00,,,attached
Felix,Joe Carnahan,writer,,2026-09-01T09:24:12.265145+00:00,,,attached
Felix,John Kissack,writer,,2026-09-01T09:24:12.265145+00:00,,,attached
Credit Score,Arjun TS,writer,,2026-09-01T09:24:30.481994+00:00,,,attached
For We Are Many 2: Lovecraft,Tom Staunton,director,,2026-09-01T09:30:34.373654+00:00,,,attached
For We Are Many 2: Lovecraft,Oliver Revie,director,,2026-09-01T09:30:34.373654+00:00,,,attached
Deadlocked,Luke Hemsworth,cast,3,2026-09-01T09:30:50.075907+00:00,,,attached
Deadlocked,KiKi Layne,cast,2,2026-09-01T09:30:50.075907+00:00,,,attached
Copperhead,Kiefer Sutherland,cast,4,2026-09-01T09:31:56.482127+00:00,,,attached
Copperhead,Tenoch Huerta Mejía,cast,2,2026-09-01T09:31:56.482127+00:00,,,attached
Copperhead,Jason Momoa,cast,1,2026-09-01T09:31:56.482127+00:00,,,attached
Copperhead,Adria Arjona,cast,3,2026-09-01T09:31:56.482127+00:00,,,attached
Intrigued,Leonard Frost,cast,4,2026-09-01T09:37:18.177909+00:00,,,attached
The Arrival,Joshua Reid,cast,4,2026-09-01T09:43:01.567239+00:00,,,attached
