film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Ali G: Who Iz I?,Sacha Baron Cohen,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Anthony Hines,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Peter Baynham,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Dan Mazer,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Keisha Zollar,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Morgana Robinson,cast,1,2026-08-26T09:05:09.165631+00:00,,,attached
Ali G: Who Iz I?,Dan Swimer,writer,,2026-08-26T09:05:09.165631+00:00,,,attached
Acharya,Raghu Babu,cast,4,2026-08-26T09:05:32.549434+00:00,,,attached
Acharya,Deepraj Rana,cast,2,2026-08-26T09:05:32.549434+00:00,,,attached
Acharya,Pramod Agrahari,cast,3,2026-08-26T09:05:32.549434+00:00,,,attached
Acharya,Purnika Sijapati,cast,1,2026-08-26T09:05:32.549434+00:00,,,attached
Toxic: A Fairy Tale for Grown-ups,Nayanthara,cast,1,2026-08-26T09:09:27.193190+00:00,,,attached
Gunmaaster G9,Junaid Wasi,writer,,2026-08-26T09:10:17.995854+00:00,,,attached
Gunmaaster G9,Snehill Dixit Mehra,cast,4,2026-08-26T09:10:17.995854+00:00,,,attached
Gunmaaster G9,Sarim Momin,writer,,2026-08-26T09:10:17.995854+00:00,,,attached
Dharman,Shriya Saran,cast,3,2026-08-26T09:15:04.311457+00:00,,,attached
Chiyaan 63,Samyuktha Hegde,cast,2,2026-08-26T09:15:42.875392+00:00,,,attached
The Brigands of Rattlecreek,Adèle Exarchopoulos,cast,4,2026-08-26T09:15:51.858101+00:00,,,attached
Brahmāstra Part Two: Dev,Aneet Padda,cast,3,2026-08-26T09:16:27.007499+00:00,,,attached
Untitled Raj & D.K Film,Krishna D.K.,writer,,2026-08-26T09:18:04.620469+00:00,,,attached
Untitled Raj & D.K Film,Raj Nidimoru,writer,,2026-08-26T09:18:04.620469+00:00,,,attached
Saatnya Aku Bercerita Tentang Ayah,Frans Nickolas,cast,4,2026-08-26T09:22:10.153843+00:00,,,attached
Iron Jane,Simon Rex,cast,2,2026-08-26T09:25:36.030864+00:00,,,attached
The Seven Husbands of Evelyn Hugo,Brittany Snow,cast,,2026-08-26T09:31:32.421203+00:00,2026-08-27T09:31:35.808293+00:00,24.000941,reverted
The Seven Husbands of Evelyn Hugo,Anna Kendrick,cast,,2026-08-26T09:31:32.421203+00:00,2026-08-27T09:31:35.808293+00:00,24.000941,reverted
Sebelum Tiga Puluh,Gea Rexy,writer,,2026-08-26T09:32:33.525954+00:00,,,attached
Sebelum Tiga Puluh,Frans Nickolas,cast,3,2026-08-26T09:32:33.525954+00:00,,,attached
Killer First Date,Spencer Brown,cast,2,2026-08-26T09:34:35.864048+00:00,,,attached
The Living Tree,Brey Noelle,writer,,2026-08-26T09:35:01.521435+00:00,,,attached
Egyke,Csilla Radnay,cast,4,2026-08-26T09:36:37.790892+00:00,,,attached
Egyke,Orsolya Bukovszky,cast,3,2026-08-26T09:36:37.790892+00:00,,,attached
Egyke,Szirmai Marcell,cast,2,2026-08-26T09:36:37.790892+00:00,,,attached
Black Panther 3,Maya Boyd,cast,,2026-08-27T09:01:13.904602+00:00,2026-08-28T09:01:45.061626+00:00,24.008655,reverted
Ghost Market,Alkaio Thiele,cast,,2026-08-27T09:01:48.594292+00:00,2026-08-28T09:01:32.971907+00:00,23.995660,reverted
Maserati: The Brothers,Salvatore Esposito,cast,1,2026-08-27T09:02:15.080608+00:00,,,attached
Maserati: The Brothers,Matteo Bassi,cast,3,2026-08-27T09:02:15.080608+00:00,,,attached
Maserati: The Brothers,Leonardo Ferrari,cast,2,2026-08-27T09:02:15.080608+00:00,,,attached
Maserati: The Brothers,Damiano Pacchiani,cast,4,2026-08-27T09:02:15.080608+00:00,,,attached
Snoop,Algee Smith,cast,4,2026-08-27T09:04:22.790527+00:00,,,attached
Stuck On You,Bombi Plata,cast,4,2026-08-27T09:04:23.927348+00:00,,,attached
Stuck On You,Bob Jbeili,cast,3,2026-08-27T09:04:23.927348+00:00,,,attached
The Age Of Goodbyes,Edmund Yeo,writer,,2026-08-27T09:04:42.347871+00:00,,,attached
The Comebacker,Patricia Clarkson,cast,4,2026-08-27T09:05:14.765774+00:00,,,attached
Goodnight,Emilie Rose,cast,1,2026-08-27T09:10:51.981817+00:00,,,attached
Arasan,Yogalakshmi,cast,2,2026-08-27T09:15:49.892264+00:00,,,attached
A Dog’s Perfect Christmas,Kathleen Rose Perkins,cast,3,2026-08-27T09:18:02.707587+00:00,,,attached
Thank You Charlotte,Foëd Amara,cast,3,2026-08-27T09:18:07.727702+00:00,,,attached
Thank You Charlotte,Omar Kentar,cast,2,2026-08-27T09:18:07.727702+00:00,,,attached
Berlin Berlin,Didier Bourdon,cast,0,2026-08-27T09:23:27.425073+00:00,,,attached
Berlin Berlin,Audrey Lamy,cast,1,2026-08-27T09:23:27.425073+00:00,,,attached
Berlin Berlin,Vincent Dedienne,cast,2,2026-08-27T09:23:27.425073+00:00,,,attached
Berlin Berlin,Lula Hugot,cast,4,2026-08-27T09:23:27.425073+00:00,,,attached
The Operator,Joe Carnahan,director,,2026-08-27T09:24:22.034041+00:00,,,attached
Bored Out,Joe Vaughan,cast,0,2026-08-27T09:26:22.244697+00:00,,,attached
Bored Out,Joe Vaughan,director,,2026-08-27T09:26:22.244697+00:00,,,attached
Bored Out,Joe Vaughan,writer,,2026-08-27T09:26:22.244697+00:00,,,attached
Hivemind,Nicholas Braun,cast,1,2026-08-27T09:28:14.770881+00:00,,,attached
Hivemind,Samara Weaving,cast,0,2026-08-27T09:28:14.770881+00:00,,,attached
Hivemind,Ciarán Foy,director,,2026-08-27T09:28:14.770881+00:00,,,attached
Treasure Island,Owen Cooper,cast,1,2026-08-27T09:30:37.081331+00:00,,,attached
Give Me Some Sugah,Aunjanue Ellis-Taylor,cast,2,2026-08-27T09:31:06.446043+00:00,,,attached
Give Me Some Sugah,Russell Hornsby,cast,3,2026-08-27T09:31:06.446043+00:00,,,attached
Give Me Some Sugah,Alexis Louder,cast,4,2026-08-27T09:31:06.446043+00:00,,,attached
Crushtime 2,Tiago Rodrigues,cast,6,2026-08-27T09:32:34.208563+00:00,2026-08-28T09:33:51.107535+00:00,24.021361,reverted
Crushtime 2,Martina Ribera,writer,,2026-08-27T09:32:34.208563+00:00,,,attached
LeapFrog,John Haegele,cast,5,2026-08-27T09:35:03.638928+00:00,2026-08-31T09:38:20.368385+00:00,96.054647,reverted
LeapFrog,Zander Schaus,director,,2026-08-27T09:35:03.638928+00:00,,,attached
LeapFrog,David Martinez,writer,,2026-08-27T09:35:03.638928+00:00,,,attached
Raaka,Ramya Krishnan,cast,5,2026-08-27T09:37:37.125382+00:00,2026-08-29T09:39:34.889269+00:00,48.032712,reverted
Le mal est fait,Judith Davis,cast,3,2026-08-27T09:39:32.658927+00:00,,,attached
Le mal est fait,Grégoire Danvin-Sellier,cast,2,2026-08-27T09:39:32.658927+00:00,,,attached
Grow,Aimee Scher,writer,,2026-08-27T09:40:28.628221+00:00,,,attached
Eklipse,Manuel Wetscher,writer,,2026-08-28T09:04:23.942830+00:00,,,attached
Eklipse,Bernhard Jarosch,writer,,2026-08-28T09:04:23.942830+00:00,,,attached
Nino – A Film About Nino Rota,Sting,cast,0,2026-08-28T09:06:31.943239+00:00,,,attached
Last Man in Tower,Divya Dutta,cast,1,2026-08-28T09:07:18.836143+00:00,,,attached
Last Man in Tower,Boman Irani,cast,2,2026-08-28T09:07:18.836143+00:00,,,attached
Last Man in Tower,Chandan Roy Sanyal,cast,4,2026-08-28T09:07:18.836143+00:00,,,attached
Last Man in Tower,Sooni Taraporevala,writer,,2026-08-28T09:07:18.836143+00:00,,,attached
Last Man in Tower,Sukant Goel,cast,3,2026-08-28T09:07:18.836143+00:00,,,attached
Men in the Forest,Tobias Glerup Mortensen,cast,3,2026-08-28T09:11:43.706566+00:00,,,attached
Welcome To The Adventure,Ahmed Khan,director,,2026-08-28T09:16:37.275961+00:00,,,attached
Seasons,Elizabeth McGovern,cast,3,2026-08-28T09:20:48.646077+00:00,,,attached
Crazy Liquid Loves,Aimar Labaki,writer,,2026-08-28T09:22:43.780309+00:00,,,attached
Crazy Liquid Loves,Clóvys Tôrres,writer,,2026-08-28T09:22:43.780309+00:00,,,attached
Ria,Ross Pesigan,cast,2,2026-08-28T09:23:20.799140+00:00,,,attached
Ria,Rox Lee,cast,3,2026-08-28T09:23:20.799140+00:00,,,attached
Die Alive,Jamie Dornan,cast,2,2026-08-28T09:26:10.238011+00:00,,,attached
Reset,James Madigan,director,,2026-08-28T09:27:02.689830+00:00,,,attached
Deadlocked,Sasha Calle,cast,1,2026-08-28T09:28:03.156825+00:00,,,attached
The Troop,Chris Basler,writer,,2026-08-28T09:30:17.151511+00:00,,,attached
No Entry 2,Tamannaah Bhatia,cast,3,2026-08-28T09:32:07.639872+00:00,,,attached
Crushtime 2,Elisabeth Espinosa,cast,4,2026-08-28T09:33:51.107535+00:00,,,attached
Don’t Watch Til Christmas,Sue Moore,cast,3,2026-08-28T09:34:04.174144+00:00,,,attached
Don’t Watch Til Christmas,Charlotte Avery,cast,2,2026-08-28T09:34:04.174144+00:00,,,attached
Don’t Watch Til Christmas,Zoe Angeli,cast,4,2026-08-28T09:34:04.174144+00:00,,,attached
Don’t Watch Til Christmas,Johnny Massahi,director,,2026-08-28T09:34:04.174144+00:00,,,attached
Django Undisputed 2 Justice is done,Vincenzo Galluzzo,cast,4,2026-08-28T09:34:25.776674+00:00,,,attached
Go for Broke 2,Isabella Leong Lok-Sze,cast,1,2026-08-28T09:37:44.657655+00:00,,,attached
Go for Broke 2,Marc Ma,cast,4,2026-08-28T09:37:44.657655+00:00,,,attached
Go for Broke 2,Chu Xiaoxiang,cast,5,2026-08-28T09:37:44.657655+00:00,2026-08-31T09:39:50.162599+00:00,72.034862,reverted
Go for Broke 2,Alan Aruna,cast,3,2026-08-28T09:37:44.657655+00:00,,,attached
Steps,Nikki Glaser,cast,4,2026-08-29T09:01:02.372831+00:00,,,attached
Steps,Priscilla Wong,director,,2026-08-29T09:01:02.372831+00:00,,,attached
Steps,Priscilla Wong,writer,,2026-08-29T09:01:02.372831+00:00,,,attached
Obitus,Hasan Bakay,cast,4,2026-08-29T09:01:48.654758+00:00,,,attached
Obitus,Orxan Alməmmədli,cast,3,2026-08-29T09:01:48.654758+00:00,,,attached
Ghost Market,Alkaio Thiele,cast,,2026-08-29T09:02:04.488155+00:00,2026-08-30T09:02:08.095182+00:00,24.001002,reverted
The Little Mammoth,Aleksandr Revva,cast,2,2026-08-29T09:02:54.176133+00:00,,,attached
The Little Mammoth,Vadim Galygin,cast,0,2026-08-29T09:02:54.176133+00:00,,,attached
The Little Mammoth,Yana Churikova,cast,4,2026-08-29T09:02:54.176133+00:00,,,attached
The Little Mammoth,Daniil Prytkov,cast,3,2026-08-29T09:02:54.176133+00:00,,,attached
The Little Mammoth,Pelageya Khanova,cast,1,2026-08-29T09:02:54.176133+00:00,,,attached
Never Surrender,Sidharta Tata,writer,,2026-08-29T09:04:53.967039+00:00,,,attached
Never Surrender,Ismi Melinda,cast,3,2026-08-29T09:04:53.967039+00:00,,,attached
Deep Hallows - A Brazilian Gothic Fable,Antonia Baudouin,writer,,2026-08-29T09:05:21.783669+00:00,,,attached
"Oh, the Places You'll Go!",Yvette Gonzalez-Nacer,cast,3,2026-08-29T09:06:14.331640+00:00,,,attached
"Oh, the Places You'll Go!",Shayna Rose,cast,4,2026-08-29T09:06:14.331640+00:00,,,attached
"Oh, the Places You'll Go!",Kevin B. London,cast,2,2026-08-29T09:06:14.331640+00:00,,,attached
The Unholy 3,Raffa Nazriel Alkhalifi,cast,2,2026-08-29T09:19:28.707431+00:00,,,attached
Resta Um,Fernando Ceylão,director,,2026-08-29T09:24:18.611399+00:00,,,attached
Untitled Saw Film,Tobin Bell,cast,,2026-08-29T09:29:08.071018+00:00,2026-09-01T09:31:05.617702+00:00,72.032652,reverted
